track 1;
11 "0.7146 0.3352 0.6576 0.1991 0.3057 0.4909 0.3642 0.1891 0.1023 0.0614 0.0420 0.0321 0.0282 0.0264 0.0264 0.7889";
18 "0.7081 0.0487 0.0707 0.1975 0.3056 0.4909 0.3610 0.1875 0.1015 0.0608 0.0419 0.0321 0.0282 0.0264 0.0264 0.7893";
22 "0.7108 0.1769 0.3323 0.1958 0.3053 0.4909 0.3622 0.1880 0.1016 0.0610 0.0418 0.0320 0.0282 0.0262 0.0264 0.7894";
39 "0.6062 0.2238 0.4275 0.1918 0.3045 0.4899 0.3160 0.1675 0.0924 0.0568 0.0398 0.0311 0.0278 0.0261 0.0262 0.7899";
21 "0.6629 0.0706 0.1157 0.1963 0.3058 0.4919 0.3372 0.1763 0.0956 0.0582 0.0403 0.0313 0.0282 0.0264 0.0264 0.7910";
20 "0.6994 0.0383 0.0468 0.1959 0.3056 0.4919 0.3540 0.1841 0.0997 0.0596 0.0413 0.0319 0.0281 0.0262 0.0264 0.7911";
20 "0.7129 0.2685 0.5109 0.1917 0.3050 0.4913 0.3632 0.1884 0.1016 0.0608 0.0416 0.0320 0.0282 0.0262 0.0264 0.7904";
20 "0.5831 0.0532 0.0776 0.1959 0.3059 0.4921 0.2986 0.1561 0.0857 0.0540 0.0383 0.0303 0.0273 0.0261 0.0264 0.7912";
19 "0.6836 0.1482 0.2688 0.1929 0.3051 0.4911 0.3477 0.1813 0.0979 0.0593 0.0408 0.0314 0.0281 0.0262 0.0264 0.7903";
21 "0.7097 0.3632 0.7088 0.1961 0.3056 0.4911 0.3617 0.1876 0.1015 0.0607 0.0418 0.0321 0.0282 0.0264 0.0264 0.7901";
20 "0.7160 0.3630 0.7080 0.1962 0.3056 0.4914 0.3645 0.1894 0.1024 0.0614 0.0419 0.0322 0.0282 0.0264 0.0264 0.7910";
20 "0.7136 0.1238 0.2290 0.1996 0.3062 0.4916 0.3636 0.1887 0.1019 0.0612 0.0419 0.0319 0.0282 0.0262 0.0264 0.7909";
20 "0.3337 0.3343 0.6484 0.1963 0.3056 0.4911 0.1721 0.0941 0.0570 0.0402 0.0316 0.0272 0.0258 0.0251 0.0262 0.7890";
20 "0.6221 0.3619 0.7065 0.1961 0.3053 0.4909 0.3173 0.1660 0.0905 0.0560 0.0391 0.0310 0.0277 0.0262 0.0262 0.7892";
21 "0.6546 0.3591 0.7013 0.1961 0.3053 0.4909 0.3328 0.1742 0.0945 0.0577 0.0400 0.0313 0.0282 0.0264 0.0264 0.7873";
20 "0.5086 0.1240 0.2329 0.1952 0.3045 0.4893 0.2661 0.1424 0.0800 0.0512 0.0370 0.0298 0.0270 0.0260 0.0262 0.7884";
19 "0.1171 0.3428 0.6687 0.1937 0.3041 0.4892 0.0686 0.0463 0.0348 0.0292 0.0264 0.0248 0.0245 0.0247 0.0260 0.7871";
18 "0.6413 0.1152 0.2095 0.1945 0.3039 0.4885 0.3260 0.1708 0.0928 0.0569 0.0398 0.0311 0.0281 0.0264 0.0264 0.7854";
22 "0.3958 0.0847 0.1466 0.1946 0.3020 0.4847 0.2025 0.1098 0.0646 0.0437 0.0333 0.0281 0.0260 0.0254 0.0262 0.7783";
20 "0.4626 0.3639 0.7076 0.1933 0.3003 0.4827 0.2345 0.1240 0.0707 0.0466 0.0347 0.0288 0.0264 0.0255 0.0261 0.7684";
21 "0.0892 0.1375 0.2632 0.1742 0.2702 0.4311 0.0576 0.0420 0.0333 0.0283 0.0260 0.0245 0.0245 0.0247 0.0256 0.6889";
19 "0.3434 0.0585 0.0908 0.1773 0.2755 0.4405 0.1801 0.0995 0.0595 0.0411 0.0322 0.0275 0.0258 0.0251 0.0260 0.7031";
20 "0.4974 0.0990 0.1730 0.1927 0.2987 0.4802 0.2544 0.1338 0.0752 0.0490 0.0358 0.0293 0.0267 0.0258 0.0264 0.7741";
40 "0.6875 0.1404 0.2607 0.1891 0.2958 0.4744 0.3500 0.1824 0.0985 0.0596 0.0410 0.0315 0.0282 0.0262 0.0265 0.7630";
21 "0.6942 0.1214 0.2212 0.1909 0.2979 0.4778 0.3537 0.1841 0.0994 0.0601 0.0413 0.0317 0.0282 0.0262 0.0265 0.7679";
20 "0.6867 0.0900 0.1531 0.1863 0.2931 0.4698 0.3495 0.1820 0.0985 0.0596 0.0409 0.0314 0.0282 0.0264 0.0264 0.7535";
20 "0.6825 0.0282 0.0264 0.1870 0.2908 0.4654 0.3473 0.1812 0.0979 0.0595 0.0409 0.0314 0.0282 0.0262 0.0264 0.7479";
20 "0.6698 0.0905 0.1602 0.1843 0.2848 0.4549 0.3406 0.1778 0.0966 0.0586 0.0407 0.0313 0.0282 0.0264 0.0264 0.7265";
22 "0.6783 0.1076 0.1931 0.1868 0.2875 0.4592 0.3453 0.1802 0.0975 0.0592 0.0409 0.0314 0.0282 0.0264 0.0264 0.7345";
17 "0.6275 0.1154 0.2105 0.1740 0.2685 0.4300 0.3191 0.1673 0.0912 0.0562 0.0393 0.0310 0.0277 0.0262 0.0262 0.6851";
22 "0.5452 0.0731 0.1214 0.1774 0.2747 0.4395 0.2793 0.1465 0.0811 0.0518 0.0372 0.0300 0.0271 0.0260 0.0264 0.7004";
19 "0.0101 0.0437 0.0620 0.1610 0.2475 0.3957 0.0187 0.0225 0.0237 0.0238 0.0238 0.0234 0.0243 0.0244 0.0254 0.6275";
20 "0.2620 0.0844 0.1499 0.1657 0.2543 0.4023 0.1422 0.0823 0.0521 0.0377 0.0306 0.0269 0.0254 0.0250 0.0255 0.6329";
19 "0.5213 0.0186 0.0060 0.1818 0.2819 0.4504 0.2669 0.1404 0.0781 0.0505 0.0367 0.0298 0.0270 0.0259 0.0264 0.7186";
22 "0.3341 0.1000 0.1758 0.1757 0.2712 0.4369 0.1731 0.0951 0.0574 0.0403 0.0317 0.0273 0.0259 0.0253 0.0262 0.7050";
18 "0.4943 0.0676 0.1085 0.1825 0.2824 0.4509 0.2544 0.1350 0.0761 0.0493 0.0361 0.0294 0.0269 0.0258 0.0264 0.7204";
22 "0.1311 0.0741 0.1200 0.1686 0.2628 0.4218 0.0756 0.0486 0.0358 0.0297 0.0267 0.0248 0.0248 0.0248 0.0261 0.6822";
38 "0.1132 0.0726 0.1200 0.1544 0.2355 0.3705 0.0678 0.0470 0.0356 0.0293 0.0266 0.0248 0.0247 0.0247 0.0253 0.5733";
20 "0.5571 0.0377 0.0446 0.1792 0.2787 0.4455 0.2834 0.1491 0.0824 0.0521 0.0375 0.0300 0.0271 0.0261 0.0262 0.7013";
21 "0.4080 0.1276 0.2404 0.1648 0.2492 0.3920 0.2138 0.1166 0.0678 0.0452 0.0342 0.0284 0.0264 0.0256 0.0259 0.6153";
21 "0.4405 0.3577 0.7027 0.1646 0.2524 0.3976 0.2290 0.1238 0.0713 0.0466 0.0348 0.0287 0.0264 0.0256 0.0258 0.6245";
19 "0.2701 0.2228 0.4262 0.1652 0.2575 0.4125 0.1420 0.0812 0.0515 0.0370 0.0302 0.0265 0.0254 0.0250 0.0255 0.6403";
21 "0.1978 0.2570 0.4996 0.1561 0.2318 0.3683 0.1073 0.0637 0.0431 0.0333 0.0284 0.0258 0.0250 0.0250 0.0260 0.5936";
20 "0.0405 0.0466 0.0684 0.1552 0.2362 0.3779 0.0336 0.0294 0.0270 0.0255 0.0247 0.0238 0.0243 0.0244 0.0258 0.6011";
18 "0.5515 0.1328 0.2439 0.1630 0.2483 0.3973 0.2824 0.1482 0.0819 0.0523 0.0375 0.0302 0.0271 0.0261 0.0262 0.6315";
22 "0.2266 0.1026 0.1936 0.1515 0.2232 0.3482 0.1214 0.0722 0.0476 0.0354 0.0295 0.0262 0.0251 0.0249 0.0253 0.5288";
20 "0.4477 0.0625 0.1038 0.1566 0.2333 0.3691 0.2293 0.1231 0.0709 0.0469 0.0349 0.0289 0.0264 0.0254 0.0261 0.5781";
20 "0.1037 0.1533 0.2896 0.1326 0.1939 0.3025 0.0641 0.0441 0.0338 0.0291 0.0264 0.0247 0.0245 0.0247 0.0259 0.5441";
20 "0.5090 0.0718 0.1188 0.1488 0.2261 0.3573 0.2607 0.1372 0.0764 0.0496 0.0361 0.0294 0.0266 0.0255 0.0260 0.5613";
20 "0.4944 0.2901 0.5620 0.1449 0.2177 0.3423 0.2520 0.1338 0.0750 0.0488 0.0359 0.0293 0.0265 0.0254 0.0258 0.5361";
20 "0.4732 0.2735 0.5333 0.1420 0.2119 0.3326 0.2420 0.1289 0.0733 0.0481 0.0355 0.0292 0.0264 0.0254 0.0258 0.5209";
20 "0.3908 0.0481 0.0698 0.1345 0.2008 0.3107 0.2022 0.1101 0.0647 0.0437 0.0332 0.0282 0.0260 0.0253 0.0253 0.4813";
20 "0.1710 0.0333 0.0408 0.1217 0.1798 0.2758 0.0960 0.0599 0.0414 0.0324 0.0280 0.0255 0.0248 0.0248 0.0250 0.4216";
21 "0.3909 0.0657 0.1067 0.1422 0.2126 0.3334 0.2007 0.1093 0.0647 0.0437 0.0333 0.0282 0.0262 0.0254 0.0255 0.5231";
19 "0.0067 0.0835 0.1483 0.1149 0.1658 0.2565 0.0170 0.0217 0.0233 0.0238 0.0238 0.0234 0.0242 0.0244 0.0250 0.3989";
